date,code,open,high,low,close,volume,status,source_primary,value_primary,source_secondary,value_secondary,fetched_at
2026-01-23,topix,3634.48,3648.66,3621.46,3629.7,2096160000,OK,kabutan,3629.7,yahoo_jp,3629.7,2026-08-12T14:25:46.765409+09:00
2026-01-26,topix,3581.08,3581.54,3548.39,3552.49,2250600000,OK,kabutan,3552.49,yahoo_jp,3552.49,2026-08-12T14:25:46.765409+09:00
2026-01-27,topix,3544.24,3567.96,3526.09,3563.59,2135610000,OK,kabutan,3563.59,yahoo_jp,3563.59,2026-08-12T14:25:46.765409+09:00
2026-01-28,topix,3536.24,3548.69,3520.4,3535.49,2310150000,OK,kabutan,3535.49,yahoo_jp,3535.49,2026-08-12T14:25:46.765409+09:00
2026-01-29,topix,3529.29,3556.17,3507.72,3545.3,2503830000,OK,kabutan,3545.3,yahoo_jp,3545.3,2026-08-12T14:25:46.765409+09:00
2026-01-30,topix,3556.77,3574.41,3536.26,3566.32,2448120000,OK,kabutan,3566.32,yahoo_jp,3566.32,2026-08-12T14:25:46.765409+09:00
2026-02-02,topix,3597.27,3628.41,3533.78,3536.13,2478930000,OK,kabutan,3536.13,yahoo_jp,3536.13,2026-08-12T14:25:46.765409+09:00
2026-02-03,topix,3577.54,3650.51,3575.0,3645.84,2433150000,OK,kabutan,3645.84,yahoo_jp,3645.84,2026-08-12T14:25:46.765409+09:00
2026-02-04,topix,3636.87,3659.17,3621.69,3655.58,2832620000,OK,kabutan,3655.58,yahoo_jp,3655.58,2026-08-12T14:25:46.765409+09:00
2026-02-05,topix,3668.08,3686.09,3638.62,3652.41,3062770000,OK,kabutan,3652.41,yahoo_jp,3652.41,2026-08-12T14:25:46.765409+09:00
2026-02-06,topix,3635.0,3699.0,3613.47,3699.0,2805440000,OK,kabutan,3699.0,yahoo_jp,3699.0,2026-08-12T14:25:46.765409+09:00
2026-02-09,topix,3756.21,3825.67,3752.74,3783.57,3060400000,OK,kabutan,3783.57,yahoo_jp,3783.57,2026-08-12T14:25:46.765409+09:00
2026-02-10,topix,3809.22,3863.9,3808.45,3855.28,2909120000,OK,kabutan,3855.28,yahoo_jp,3855.28,2026-08-12T14:25:46.765409+09:00
2026-02-12,topix,3855.98,3888.94,3850.02,3882.16,3059820000,OK,kabutan,3882.16,yahoo_jp,3882.16,2026-08-12T14:25:46.765409+09:00
2026-02-13,topix,3861.27,3871.83,3815.48,3818.85,3410050000,OK,kabutan,3818.85,yahoo_jp,3818.85,2026-08-12T14:25:46.765409+09:00
2026-02-16,topix,3824.12,3828.34,3784.53,3787.38,2470480000,OK,kabutan,3787.38,yahoo_jp,3787.38,2026-08-12T14:25:46.765409+09:00
2026-02-17,topix,3781.43,3794.94,3746.33,3761.55,2274570000,OK,kabutan,3761.55,yahoo_jp,3761.55,2026-08-12T14:25:46.765409+09:00
2026-02-18,topix,3783.75,3817.33,3783.32,3807.25,2269460000,OK,kabutan,3807.25,yahoo_jp,3807.25,2026-08-12T14:25:46.765409+09:00
