date,code,open,high,low,close,volume,status,source_primary,value_primary,source_secondary,value_secondary,fetched_at
2025-10-02,growth250,722.84,726.88,710.32,,307843600,SINGLE_SOURCE,kabutan,715.09,,,2026-08-12T14:26:15.916612+09:00
2025-10-03,growth250,715.69,734.53,715.69,,308107200,SINGLE_SOURCE,kabutan,731.14,,,2026-08-12T14:26:15.916612+09:00
2025-10-06,growth250,742.4,752.96,740.76,,330260100,SINGLE_SOURCE,kabutan,751.8,,,2026-08-12T14:26:15.916612+09:00
2025-10-07,growth250,755.52,759.46,745.17,,368271900,SINGLE_SOURCE,kabutan,752.52,,,2026-08-12T14:26:15.916612+09:00
2025-10-08,growth250,749.58,758.22,747.65,,368302200,SINGLE_SOURCE,kabutan,753.58,,,2026-08-12T14:26:15.916612+09:00
2025-10-09,growth250,754.8,760.14,752.96,,340074700,SINGLE_SOURCE,kabutan,759.24,,,2026-08-12T14:26:15.916612+09:00
2025-10-10,growth250,754.49,757.68,745.73,,335546500,SINGLE_SOURCE,kabutan,746.37,,,2026-08-12T14:26:15.916612+09:00
2025-10-14,growth250,736.86,739.81,719.62,,348292800,SINGLE_SOURCE,kabutan,722.57,,,2026-08-12T14:26:15.916612+09:00
2025-10-15,growth250,727.25,745.4,725.92,,317674700,SINGLE_SOURCE,kabutan,741.5,,,2026-08-12T14:26:15.916612+09:00
2025-10-16,growth250,745.28,747.81,728.94,,274979300,SINGLE_SOURCE,kabutan,730.39,,,2026-08-12T14:26:15.916612+09:00
2025-10-17,growth250,726.37,728.51,706.92,,311032300,SINGLE_SOURCE,kabutan,709.16,,,2026-08-12T14:26:15.916612+09:00
2025-10-20,growth250,716.47,732.73,715.66,,340691500,SINGLE_SOURCE,kabutan,730.75,,,2026-08-12T14:26:15.916612+09:00
2025-10-21,growth250,733.61,736.79,724.72,,295149300,SINGLE_SOURCE,kabutan,730.28,,,2026-08-12T14:26:15.916612+09:00
2025-10-22,growth250,732.23,743.55,730.69,,302090600,SINGLE_SOURCE,kabutan,742.14,,,2026-08-12T14:26:15.916612+09:00
2025-10-23,growth250,736.85,737.97,731.01,,257237500,SINGLE_SOURCE,kabutan,731.25,,,2026-08-12T14:26:15.916612+09:00
2025-10-24,growth250,734.68,735.01,727.83,,285284800,SINGLE_SOURCE,kabutan,728.74,,,2026-08-12T14:26:15.916612+09:00
2025-10-27,growth250,733.75,741.47,731.89,,285567200,SINGLE_SOURCE,kabutan,734.94,,,2026-08-12T14:26:15.916612+09:00
2025-10-28,growth250,733.93,733.93,722.38,,215157400,SINGLE_SOURCE,kabutan,722.38,,,2026-08-12T14:26:15.916612+09:00
2025-10-29,growth250,723.37,723.37,702.23,,239114500,SINGLE_SOURCE,kabutan,703.43,,,2026-08-12T14:26:15.916612+09:00
2025-10-30,growth250,702.73,708.88,700.72,,227969300,SINGLE_SOURCE,kabutan,707.46,,,2026-08-12T14:26:15.916612+09:00
2025-10-31,growth250,708.11,719.24,708.11,,185735700,SINGLE_SOURCE,kabutan,714.64,,,2026-08-12T14:26:15.916612+09:00
2025-11-04,growth250,713.4,716.27,706.34,,210154000,SINGLE_SOURCE,kabutan,712.15,,,2026-08-12T14:26:15.916612+09:00
2025-11-05,growth250,707.44,708.53,687.65,,236555100,SINGLE_SOURCE,kabutan,708.53,,,2026-08-12T14:26:15.916612+09:00
2025-11-06,growth250,710.54,715.26,703.06,,230097500,SINGLE_SOURCE,kabutan,703.06,,,2026-08-12T14:26:15.916612+09:00
2025-11-07,growth250,699.42,704.57,695.86,,237169100,SINGLE_SOURCE,kabutan,700.84,,,2026-08-12T14:26:15.916612+09:00
2025-11-10,growth250,705.02,712.9,704.07,,223451500,SINGLE_SOURCE,kabutan,712.72,,,2026-08-12T14:26:15.916612+09:00
2025-11-11,growth250,712.85,714.14,706.28,,231997600,SINGLE_SOURCE,kabutan,709.74,,,2026-08-12T14:26:15.916612+09:00
2025-11-12,growth250,709.89,727.33,708.71,,259485100,SINGLE_SOURCE,kabutan,727.33,,,2026-08-12T14:26:15.916612+09:00
2025-11-13,growth250,725.48,726.19,719.58,,239145400,SINGLE_SOURCE,kabutan,721.49,,,2026-08-12T14:26:15.916612+09:00
2025-11-14,growth250,714.16,720.0,706.42,,294462400,SINGLE_SOURCE,kabutan,708.54,,,2026-08-12T14:26:15.916612+09:00
2025-11-17,growth250,708.39,708.39,693.26,,319463800,SINGLE_SOURCE,kabutan,698.53,,,2026-08-12T14:26:15.916612+09:00
2025-11-18,growth250,696.43,697.86,679.15,,320813800,SINGLE_SOURCE,kabutan,679.97,,,2026-08-12T14:26:15.916612+09:00
2025-11-19,growth250,682.76,683.39,668.67,,268332400,SINGLE_SOURCE,kabutan,674.56,,,2026-08-12T14:26:15.916612+09:00
2025-11-20,growth250,683.18,688.17,676.02,,269958400,SINGLE_SOURCE,kabutan,679.29,,,2026-08-12T14:26:15.916612+09:00
2025-11-21,growth250,672.29,683.63,668.5,,271853000,SINGLE_SOURCE,kabutan,680.43,,,2026-08-12T14:26:15.916612+09:00
2025-11-25,growth250,683.94,683.94,666.42,,263190900,SINGLE_SOURCE,kabutan,667.31,,,2026-08-12T14:26:15.916612+09:00
2025-11-26,growth250,671.31,684.67,669.83,,238656300,SINGLE_SOURCE,kabutan,684.67,,,2026-08-12T14:26:15.916612+09:00
2025-11-27,growth250,685.98,695.59,685.45,,222026500,SINGLE_SOURCE,kabutan,695.05,,,2026-08-12T14:26:15.916612+09:00
2025-11-28,growth250,694.99,702.34,693.71,,220897800,SINGLE_SOURCE,kabutan,699.53,,,2026-08-12T14:26:15.916612+09:00
2025-12-01,growth250,700.95,700.95,682.9,,257327800,SINGLE_SOURCE,kabutan,683.44,,,2026-08-12T14:26:15.916612+09:00
2025-12-02,growth250,684.31,685.76,666.45,,258063800,SINGLE_SOURCE,kabutan,666.45,,,2026-08-12T14:26:15.916612+09:00
2025-12-03,growth250,667.31,668.02,658.61,,255331000,SINGLE_SOURCE,kabutan,661.31,,,2026-08-12T14:26:15.916612+09:00
2025-12-04,growth250,663.64,671.78,663.63,,290500900,SINGLE_SOURCE,kabutan,665.98,,,2026-08-12T14:26:15.916612+09:00
2025-12-05,growth250,667.15,672.44,664.95,,257585200,SINGLE_SOURCE,kabutan,667.51,,,2026-08-12T14:26:15.916612+09:00
2025-12-08,growth250,668.46,671.56,665.38,,279693900,SINGLE_SOURCE,kabutan,670.99,,,2026-08-12T14:26:15.916612+09:00
2025-12-09,growth250,671.81,675.72,664.57,,310151300,SINGLE_SOURCE,kabutan,666.13,,,2026-08-12T14:26:15.916612+09:00
2025-12-10,growth250,667.4,671.82,664.89,,349631900,SINGLE_SOURCE,kabutan,667.68,,,2026-08-12T14:26:15.916612+09:00
2025-12-11,growth250,666.58,667.26,650.73,,301897500,SINGLE_SOURCE,kabutan,653.07,,,2026-08-12T14:26:15.916612+09:00
2025-12-12,growth250,654.03,661.03,653.89,,415471900,SINGLE_SOURCE,kabutan,657.92,,,2026-08-12T14:26:15.916612+09:00
2025-12-15,growth250,657.61,669.53,657.37,,315771000,SINGLE_SOURCE,kabutan,669.05,,,2026-08-12T14:26:15.916612+09:00
2025-12-16,growth250,665.82,666.31,650.36,,295211600,SINGLE_SOURCE,kabutan,650.38,,,2026-08-12T14:26:15.916612+09:00
2025-12-17,growth250,651.6,652.22,641.85,,298156600,SINGLE_SOURCE,kabutan,647.8,,,2026-08-12T14:26:15.916612+09:00
2025-12-18,growth250,644.21,648.6,642.47,,295935800,SINGLE_SOURCE,kabutan,645.58,,,2026-08-12T14:26:15.916612+09:00
2025-12-19,growth250,647.56,657.69,646.62,,342786600,SINGLE_SOURCE,kabutan,656.67,,,2026-08-12T14:26:15.916612+09:00
2025-12-22,growth250,662.21,662.74,651.74,,365107000,SINGLE_SOURCE,kabutan,654.66,,,2026-08-12T14:26:15.916612+09:00
2025-12-23,growth250,656.03,665.5,656.03,,409607900,SINGLE_SOURCE,kabutan,663.39,,,2026-08-12T14:26:15.916612+09:00
2025-12-24,growth250,663.42,669.08,663.42,,348582600,SINGLE_SOURCE,kabutan,663.46,,,2026-08-12T14:26:15.916612+09:00
2025-12-25,growth250,664.48,676.37,662.63,,346834000,SINGLE_SOURCE,kabutan,676.28,,,2026-08-12T14:26:15.916612+09:00
2025-12-26,growth250,679.44,681.59,675.81,,298700000,SINGLE_SOURCE,kabutan,677.73,,,2026-08-12T14:26:15.916612+09:00
2025-12-29,growth250,680.62,687.36,676.66,,275462200,SINGLE_SOURCE,kabutan,682.54,,,2026-08-12T14:26:15.916612+09:00
2025-12-30,growth250,682.92,683.84,674.77,,243038400,SINGLE_SOURCE,kabutan,675.21,,,2026-08-12T14:26:15.916612+09:00
2026-01-05,growth250,681.27,681.99,675.15,,244670500,SINGLE_SOURCE,kabutan,677.63,,,2026-08-12T14:26:15.916612+09:00
2026-01-06,growth250,682.09,695.43,682.09,,258817700,SINGLE_SOURCE,kabutan,690.65,,,2026-08-12T14:26:15.916612+09:00
2026-01-07,growth250,687.36,692.28,684.66,,263830400,SINGLE_SOURCE,kabutan,692.26,,,2026-08-12T14:26:15.916612+09:00
2026-01-08,growth250,694.17,704.54,693.61,,336894600,SINGLE_SOURCE,kabutan,702.11,,,2026-08-12T14:26:15.916612+09:00
2026-01-09,growth250,704.2,709.49,702.77,,363007300,SINGLE_SOURCE,kabutan,707.29,,,2026-08-12T14:26:15.916612+09:00
2026-01-13,growth250,717.0,717.0,708.63,,300073900,SINGLE_SOURCE,kabutan,712.58,,,2026-08-12T14:26:15.916612+09:00
2026-01-14,growth250,710.5,715.61,705.0,,296540300,SINGLE_SOURCE,kabutan,706.38,,,2026-08-12T14:26:15.916612+09:00
2026-01-15,growth250,706.58,732.73,706.58,,313771100,SINGLE_SOURCE,kabutan,732.21,,,2026-08-12T14:26:15.916612+09:00
2026-01-16,growth250,732.0,738.14,723.85,,328978700,SINGLE_SOURCE,kabutan,734.02,,,2026-08-12T14:26:15.916612+09:00
